time[ms]  latitude[deg]  longitude[deg]  radialdist[km]  bx[nT]  by[nT]  bz[nT]  attitude[]
51145895  17.899  53.955 6850.477 28698.7    -87.5 12087.6 7168
26692571  30.058  -18.096 6752.816 23452.1  -4660.8 23174.4    0
 5878149  26.814  68.020 6764.555 28516.5    52.7 23799.5 2036
68870339  -10.883  -16.695 6869.855 16994.7  -6161.8 -12193.1    0
50442859  27.132 -117.834 6780.500 22176.5  4698.7 29976.7 7068
27862809  46.501 145.421 6746.715 20861.4  -2614.7 36546.8    0
 6364405  15.134 -119.730 6784.859 24774.2  4263.6 18955.8 1022
 9833759  30.656  51.594 6803.488 25423.2   809.2 26149.2 7000
 1719129  -76.397  51.737 6932.367  5913.2 -11346.7 -38325.1 7068
68155080  -28.785  -11.924 6827.375 11909.5  -5358.6 -18221.3 7068
47227848  -14.274  73.150 6790.562 22998.7  -4750.0 -24762.6 7000
30507010  -82.924 -145.147 6899.773  -1473.6 10636.5 -45230.7 7068
 9777380  -57.251 -122.064 6842.777 13926.9  9570.1 -37909.7 7068
78128142  30.247 126.344 6863.430 26581.7  -1768.6 24727.9 2000
54829947  16.315  37.336 6728.875 29839.8   288.4  9236.1 2036
33073480  -14.946 131.714 6748.848 28432.1  1824.5 -28224.3 2036
10901166  -70.470 -118.187 6820.871  9306.9 11015.8 -42852.8 7068
73775878  29.870 144.029 6892.629 24984.5  -1005.2 21186.7    0
53564581  -40.836 -141.693 6898.234 18462.0  7267.8 -31852.4 7068
37177501   -2.761  -67.928 6914.398 21852.5  -1680.3  7665.3 7068
15191730  32.703  28.305 6901.570 22973.8   377.7 24478.2    0
82719647  -48.307  -69.859 6744.805 18185.7  3777.6 -19975.6 7068
63970204  50.622 -171.168 6891.543 16762.3  3447.9 34518.5    0
43429572  -10.553  -95.298 6885.371 23095.3  3718.6  -1125.8 2000
30029609   -2.921 142.060 6743.668 30885.1  2422.8 -13125.6 2036
 7879907  -38.582 -120.633 6730.953 20508.7  7626.6 -27921.2 7068
16947709  44.627  22.777 6894.617 18143.3   276.4 32366.5    0
83073986  -42.549  94.126 6798.316 11465.3  -7278.6 -45195.4 7068
66830192  -32.558 163.630 6802.098 20784.6  5532.8 -39351.8    0
